z,n,name,levelEnergy(MeV),decayMode,branchingRatio,branchingRatioUncertainty,massExcess(keV),massExcessUncertainty,halflife,halflifeUnit,halflifeUncertainty
0,1,Neutron,0,B-,100,,8.07E+3,4.40E-4,608.9,s,0.3
1,2,3H,0,B-,100,,1.49E+4,8.00E-5,12.3221,y,0.0106
1,3,4H,0,N,100,,2.46E+4,1.00E+2,3.3,MeV,0.3
1,4,5H,0,2N,100,,3.28E+4,8.94E+1,5.3,MeV,0.4
1,6,7H,0,2N,,,4.91E+4,1.00E+3,0.18,MeV,+0.47-0.13
2,3,5He,0,N,100,,1.12E+4,2.00E+1,719,keV,48
2,4,6He,0,B-,100,,1.75E+4,5.30E-2,807.12,ms,0.17
2,5,7He,0,N,100,,2.60E+4,7.55,195,keV,4
2,6,8He,0,B-,100,,3.16E+4,8.90E-2,119,ms,1.6
2,6,8He,0,B-N,16,1,3.16E+4,8.90E-2,119,ms,1.6
2,7,9He,0,N,100,,4.09E+4,4.68E+1,180,keV,100
2,8,10He,0,2N,100,,4.91E+4,9.28E+1,1.8,MeV,0.3
3,1,4Li,0,P,100,,2.53E+4,2.12E+2,5,MeV,0.5
3,2,5Li,0,P,100,,1.16E+4,5.00E+1,1.23,MeV,0.0
3,5,8Li,0,B-,100,,2.09E+4,4.70E-2,838.79,ms,0.35
3,5,8Li,0,B-A,100,,2.09E+4,4.70E-2,838.79,ms,0.35
3,6,9Li,0,B-,100,,2.49E+4,1.86E-1,178,ms,0.3
3,6,9Li,0,B-A,12.3,0.9,2.49E+4,1.86E-1,178,ms,0.3
3,6,9Li,0,B-N,51,0.9,2.49E+4,1.86E-1,178,ms,0.3
3,7,10Li,0,N,100,,3.30E+4,1.27E+1,0.23,MeV,<=
3,8,11Li,0,B-,100,,4.07E+4,6.15E-1,8.75,ms,0.1
3,8,11Li,0,B-N,84.3,1.3,4.07E+4,6.15E-1,8.75,ms,0.1
3,8,11Li,0,B-2N,4.2,0.3,4.07E+4,6.15E-1,8.75,ms,0.1
3,8,11Li,0,B-3N,1.9,0.2,4.07E+4,6.15E-1,8.75,ms,0.1
3,8,11Li,0,B-A,1.7,0.3,4.07E+4,6.15E-1,8.75,ms,0.1
3,9,12Li,0,N,100,,4.90E+4,3.00E+1,,,
3,10,13Li,0,2N,100,,5.69E+4,7.00E+1,125,keV,+60-40
4,2,6Be,0,2P,100,,1.83E+4,5.44,92,keV,6
4,3,7Be,0,EC,100,,1.57E+4,7.09E-2,53.3,d,0.1
4,4,8Be,0,A,100,,4.94E+3,3.50E-2,5.57,eV,0.25
4,6,10Be,0,B-,100,,1.26E+4,8.10E-2,1.39e+06,y,1.16e+04
4,7,11Be,0,B-,100,,2.01E+4,2.38E-1,13.77,s,0.07
4,7,11Be,0,B-A,3.3,0.1,2.01E+4,2.38E-1,13.77,s,0.07
4,8,12Be,0,B-,100,,2.50E+4,1.90,21.46,ms,0.05
4,8,12Be,0,B-N,0.5,0.03,2.50E+4,1.90,21.46,ms,0.05
4,9,13Be,0,N,,,3.36E+4,1.01E+1,450,keV,30
4,11,15Be,0,N,100,,4.98E+4,1.65E+2,580,keV,200
4,12,16Be,0,2N,100,,5.74E+4,1.65E+2,0.8,MeV,+0.1-0.2
4,10,14Be,0,B-,100,,3.99E+4,1.32E+2,4.65,ms,0.12
4,10,14Be,0,B-N,86,6,3.99E+4,1.32E+2,4.65,ms,0.12
4,10,14Be,0,B-2N,5,2,3.99E+4,1.32E+2,4.65,ms,0.12
4,10,14Be,0,B-A,0.004,,3.99E+4,1.32E+2,4.65,ms,0.12
5,12,17B,0,B-,100,,4.37E+4,2.04E+2,5.07,ms,0.05
5,12,17B,0,B-N,63,1,4.37E+4,2.04E+2,5.07,ms,0.05
5,12,17B,0,B-2N,12,2,4.37E+4,2.04E+2,5.07,ms,0.05
5,12,17B,0,B-3N,3.5,0.7,4.37E+4,2.04E+2,5.07,ms,0.05
5,12,17B,0,B-4N,0.4,0.3,4.37E+4,2.04E+2,5.07,ms,0.05
5,13,18B,0,N,100,,5.17E+4,2.04E+2,,,
5,14,19B,0,B-,100,,5.97E+4,5.25E+2,2.92,ms,0.13
5,14,19B,0,B-N,71.8,,5.97E+4,5.25E+2,2.92,ms,0.13
5,14,19B,0,B-2N,16,,5.97E+4,5.25E+2,2.92,ms,0.13
5,14,19B,0,B-3N,9.1,,5.97E+4,5.25E+2,2.92,ms,0.13
5,15,20B,0,N,100,,6.94E+4,5.46E+2,500,keV,<=
5,16,21B,0,2N,100,,7.83E+4,5.58E+2,600,keV,<=
5,10,15B,0,B-,100,,2.89E+4,2.10E+1,10.18,ms,0.35
5,10,15B,0,B-N,99.68,,2.89E+4,2.10E+1,10.18,ms,0.35
5,10,15B,0,B-2N,1.5,,2.89E+4,2.10E+1,10.18,ms,0.35
5,11,16B,0,N,100,,3.71E+4,2.45E+1,100,keV,<
5,2,7B,0,P,100,,2.76E+4,2.51E+1,801,keV,20
5,3,8B,0,EC+B+,100,,2.29E+4,1.00,772.1,ms,1.1
5,3,8B,0,ECA,100,,2.29E+4,1.00,772.1,ms,1.1
5,4,9B,0,P,100,,1.24E+4,9.03E-1,540,eV,210
5,7,12B,0,B-,100,,1.33E+4,1.32,20.22,ms,0.04
5,7,12B,0,B-A,0.6,0.02,1.33E+4,1.32,20.22,ms,0.04
5,8,13B,0,B-,100,,1.65E+4,1.00,17.16,ms,0.18
5,8,13B,0,B-N,0.266,0.025,1.65E+4,1.00,17.16,ms,0.18
5,9,14B,0,B-,100,,2.36E+4,2.12E+1,12.34,ms,0.27
5,9,14B,0,B-N,6.04,0.23,2.36E+4,2.12E+1,12.34,ms,0.27
6,2,8C,0,2P,100,,3.50E+4,1.82E+1,130,keV,50
6,3,9C,0,EC+B+,100,,2.89E+4,2.13,126.5,ms,0.9
6,3,9C,0,ECP,62,1.9,2.89E+4,2.13,126.5,ms,0.9
6,3,9C,0,ECA,37.9,5.8,2.89E+4,2.13,126.5,ms,0.9
6,4,10C,0,EC+B+,100,,1.56E+4,7.00E-2,19.3015,s,0.0018
6,5,11C,0,EC+B+,100,,1.06E+4,6.00E-2,20.3401,m,0.0041
6,8,14C,0,B-,100,,3.01E+3,3.75E-3,5686,y,22
6,9,15C,0,B-,100,,9.87E+3,8.00E-1,2.451,s,0.004
6,14,20C,0,B-,100,,3.75E+4,2.30E+2,16,ms,3.0
6,14,20C,0,B-N,66,10,3.75E+4,2.30E+2,16,ms,3.0
6,14,20C,0,B-2N,18.6,,3.75E+4,2.30E+2,16,ms,3.0
6,13,19C,0,B-,100,,3.24E+4,9.83E+1,46.3,ms,2.3
6,13,19C,0,B-N,47,3,3.24E+4,9.83E+1,46.3,ms,2.3
6,13,19C,0,B-2N,7,3,3.24E+4,9.83E+1,46.3,ms,2.3
6,16,22C,0,B-,100,,5.36E+4,2.31E+2,6.1,ms,+1.4-1.2
6,16,22C,0,B-N,61,,5.36E+4,2.31E+2,6.1,ms,+1.4-1.2
6,16,22C,0,B-2N,37,,5.36E+4,2.31E+2,6.1,ms,+1.4-1.2
6,10,16C,0,B-,100,,1.36E+4,3.57,750,ms,5
6,10,16C,0,B-N,99.28,0.12,1.36E+4,3.57,750,ms,5
6,12,18C,0,B-,100,,2.49E+4,3.00E+1,92,ms,2
6,12,18C,0,B-N,31.5,1.5,2.49E+4,3.00E+1,92,ms,2
6,12,18C,0,B-2N,,,2.49E+4,3.00E+1,92,ms,2
6,11,17C,0,B-,100,,2.10E+4,1.73E+1,193,ms,5
6,11,17C,0,B-N,28.4,1.3,2.10E+4,1.73E+1,193,ms,5
6,11,17C,0,B-2N,,,2.10E+4,1.73E+1,193,ms,5
7,15,22N,0,B-,100,,3.17E+4,2.07E+2,20.9,ms,2.1
7,15,22N,0,B-N,34,2,3.17E+4,2.07E+2,20.9,ms,2.1
7,15,22N,0,B-2N,12,3,3.17E+4,2.07E+2,20.9,ms,2.1
7,14,21N,0,B-,100,,2.52E+4,1.34E+2,85.3,ms,4.5
7,14,21N,0,B-N,86.5,3.7,2.52E+4,1.34E+2,85.3,ms,4.5
7,14,21N,0,B-2N,,,2.52E+4,1.34E+2,85.3,ms,4.5
7,17,24N,0,N,,,4.69E+4,4.01E+2,52,ns,<
7,16,23N,0,B-,100,,3.67E+4,4.20E+2,14.1,ms,+1.2-1.5
7,16,23N,0,B-N,42,6,3.67E+4,4.20E+2,14.1,ms,+1.2-1.5
7,16,23N,0,B-2N,8,4,3.67E+4,4.20E+2,14.1,ms,+1.2-1.5
7,16,23N,0,B-3N,3.4,,3.67E+4,4.20E+2,14.1,ms,+1.2-1.5
7,11,18N,0,B-,100,,1.31E+4,1.85E+1,619,ms,2
7,11,18N,0,B-A,12.2,0.6,1.31E+4,1.85E+1,619,ms,2
7,11,18N,0,B-N,8.3,1.3,1.31E+4,1.85E+1,619,ms,2
7,11,18N,0,B-2N,,,1.31E+4,1.85E+1,619,ms,2
7,10,17N,0,B-,100,,7.87E+3,1.50E+1,4.171,s,0.003
7,10,17N,0,B-N,95.1,0.7,7.87E+3,1.50E+1,4.171,s,0.003
7,10,17N,0,B-A,0.0025,0.0004,7.87E+3,1.50E+1,4.171,s,0.003
7,13,20N,0,B-,100,,2.17E+4,7.88E+1,136,ms,3
7,13,20N,0,B-N,42.9,1.4,2.17E+4,7.88E+1,136,ms,3
7,13,20N,0,B-2N,4.5,,2.17E+4,7.88E+1,136,ms,3
7,12,19N,0,B-,100,,1.58E+4,1.64E+1,336,ms,3
7,12,19N,0,B-N,41.8,0.9,1.58E+4,1.64E+1,336,ms,3
7,3,10N,0,P,100,,3.88E+4,4.00E+2,2.5,MeV,+2-1.5
7,4,11N,0,P,100,,2.43E+4,5.00,780,keV,10
7,5,12N,0,EC+B+,100,,1.73E+4,1.00,10.996,ms,0.015
7,5,12N,0,ECA,1.93,0.04,1.73E+4,1.00,10.996,ms,0.015
7,6,13N,0,EC+B+,100,,5.34E+3,2.70E-1,9.967,m,0.004
7,9,16N,0,B-,100,,5.68E+3,2.30,7.13,s,0.01
7,9,16N,0,B-A,0.00154,0.00005,5.68E+3,2.30,7.13,s,0.01
8,17,25O,0,N,100,,2.73E+4,1.65E+2,88,keV,6
8,18,26O,0,2N,100,,3.46E+4,1.64E+2,0.0045,ns,+0.0032-0.0034
8,15,23O,0,B-,100,,1.46E+4,1.21E+2,96,ms,8
8,15,23O,0,B-N,7,2,1.46E+4,1.21E+2,96,ms,8
8,16,24O,0,B-,100,,1.85E+4,1.64E+2,72,ms,4
8,16,24O,0,B-N,41,3,1.85E+4,1.64E+2,72,ms,4
8,13,21O,0,B-,100,,8.06E+3,1.20E+1,3.42,s,0.1
8,14,22O,0,B-,100,,9.28E+3,5.69E+1,2.19,s,0.16
8,14,22O,0,B-N,22,,9.28E+3,5.69E+1,2.19,s,0.16
8,11,19O,0,B-,100,,3.33E+3,2.63,26.47,s,0.006
8,12,20O,0,B-,100,,3.79E+3,8.85E-1,13.51,s,0.04
8,20,28O,0+X,2N,,,5.20E+4,6.99E+2,100,ns,<
8,3,11O,0,2P,100,,,,2.31,MeV,0.14
8,4,12O,0,2P,100,,3.20E+4,1.20E+1,51,keV,19
8,5,13O,0,EC+B+,100,,2.31E+4,9.52,8.58,ms,0.07
8,5,13O,0,ECP,10.8,2,2.31E+4,9.52,8.58,ms,0.07
8,6,14O,0,EC+B+,100,,8.00E+3,2.50E-2,70.6183,s,0.0074
8,7,15O,0,EC+B+,100,,2.85E+3,4.90E-1,122.268,s,0.043
9,18,27F,0,B-,100,,2.51E+4,1.20E+2,5.3,ms,0.3
9,18,27F,0,B-N,90,,2.51E+4,1.20E+2,5.3,ms,0.3
9,18,27F,0,B-2N,,,2.51E+4,1.20E+2,5.3,ms,0.3
9,19,28F,0,N,100,,3.34E+4,1.20E+2,180,keV,40
9,16,25F,0,B-,100,,1.13E+4,9.64E+1,81,ms,10
9,16,25F,0,B-N,23.6,3.2,1.13E+4,9.64E+1,81,ms,10
9,16,25F,0,B-2N,,,1.13E+4,9.64E+1,81,ms,10
9,17,26F,0,B-,100,,1.86E+4,1.07E+2,8.6,ms,0.7
9,17,26F,0,B-N,14,3,1.86E+4,1.07E+2,8.6,ms,0.7
9,17,26F,0,B-2N,,,1.86E+4,1.07E+2,8.6,ms,0.7
9,17,26F,0.6434,IT,82,11,1.93e+04,1.07e+02,2.2,ms,0.1
9,17,26F,0.6434,B-,18,11,1.93e+04,1.07e+02,2.2,ms,0.1
9,17,26F,0.6434,B-N,12,8,1.93e+04,1.07e+02,2.2,ms,0.1
9,11,20F,0,B-,100,,-1.74E+1,3.00E-2,11.0064,s,0.0081
9,14,23F,0,B-,100,,3.28E+3,3.33E+1,2.23,s,0.14
9,14,23F,0,B-N,14,,3.28E+3,3.33E+1,2.23,s,0.14
9,15,24F,0,B-,100,,7.54E+3,9.76E+1,384,ms,15
9,15,24F,0,B-N,5.9,,7.54E+3,9.76E+1,384,ms,15
9,12,21F,0,B-,100,,-4.76E+1,1.80,4.158,s,0.02
9,13,22F,0,B-,100,,2.79E+3,1.23E+1,4.23,s,0.04
9,13,22F,0,B-N,11,,2.79E+3,1.23E+1,4.23,s,0.04
9,21,30F,0,N,,,4.89E+4,5.00E+2,250,ns,<
9,22,31F,0,B-,100,,5.68E+4,5.35E+2,,,
9,22,31F,0,B-N,,,5.68E+4,5.35E+2,,,
9,22,31F,0,B-2N,,,5.68E+4,5.35E+2,,,
9,20,29F,0,B-,100,,4.01E+4,5.25E+2,3.3,ms,0.4
9,20,29F,0,B-N,60,40,4.01E+4,5.25E+2,3.3,ms,0.4
9,20,29F,0,B-2N,,,4.01E+4,5.25E+2,3.3,ms,0.4
9,5,14F,0,P,100,,3.19E+4,4.11E+1,910,keV,100
9,6,15F,0,P,100,,1.65E+4,1.40E+1,0.38,MeV,0.21
9,7,16F,0,P,100,,1.06E+4,5.36,23.1,keV,3.8
9,8,17F,0,EC+B+,100,,1.95E+3,2.48E-1,64.368,s,0.025
9,9,18F,0,EC+B+,100,,8.73E+2,4.63E-1,109.734,m,0.008
10,13,23Ne,0,B-,100,,-5.15E+3,1.04E-1,37.148,s,0.032
10,14,24Ne,0,B-,100,,-5.95E+3,5.13E-1,3.38,m,0.02
10,15,25Ne,0,B-,100,,-2.03E+3,2.90E+1,602,ms,8
10,16,26Ne,0,B-,100,,4.81E+2,1.84E+1,196,ms,2
10,16,26Ne,0,B-N,0.13,0.03,4.81E+2,1.84E+1,196,ms,2
10,17,27Ne,0,B-,100,,7.05E+3,9.07E+1,30.9,ms,1.1
10,17,27Ne,0,B-N,2,0.5,7.05E+3,9.07E+1,30.9,ms,1.1
10,17,27Ne,0,B-2N,,,7.05E+3,9.07E+1,30.9,ms,1.1
10,18,28Ne,0,B-,100,,1.12E+4,1.26E+2,18.7,ms,0.2
10,18,28Ne,0,B-N,12,1,1.12E+4,1.26E+2,18.7,ms,0.2
10,18,28Ne,0,B-2N,3.7,0.5,1.12E+4,1.26E+2,18.7,ms,0.2
10,19,29Ne,0,B-,100,,1.83E+4,1.49E+2,14,ms,0.5
10,19,29Ne,0,B-N,28,6,1.83E+4,1.49E+2,14,ms,0.5
10,19,29Ne,0,B-2N,4,1,1.83E+4,1.49E+2,14,ms,0.5
10,20,30Ne,0,B-,100,,2.32E+4,2.53E+2,7.3,ms,0.3
10,20,30Ne,0,B-N,13,4,2.32E+4,2.53E+2,7.3,ms,0.3
10,20,30Ne,0,B-2N,8.9,2.3,2.32E+4,2.53E+2,7.3,ms,0.3
10,21,31Ne,0,B-,100,,3.11E+4,2.66E+2,3.4,ms,0.8
10,21,31Ne,0,B-N,,,3.11E+4,2.66E+2,3.4,ms,0.8
10,21,31Ne,0,B-2N,,,3.11E+4,2.66E+2,3.4,ms,0.8
10,22,32Ne,0,B-,100,,3.69E+4,5.03E+2,4.5,ms,0.7
10,22,32Ne,0,B-N,,,3.69E+4,5.03E+2,4.5,ms,0.7
10,22,32Ne,0,B-2N,,,3.69E+4,5.03E+2,4.5,ms,0.7
10,23,33Ne,0,N,,,4.61E+4,6.00E+2,180,ns,<
10,24,34Ne,0,B-,100,,5.28E+4,5.13E+2,,,
10,24,34Ne,0,B-N,,,5.28E+4,5.13E+2,,,
10,24,34Ne,0,B-2N,,,5.28E+4,5.13E+2,,,
10,9,19Ne,0,EC+B+,100,,1.75E+3,1.60E-1,17.2569,s,0.0019
10,7,17Ne,0,EC+B+,100,,1.65E+4,3.54E-1,109.1,ms,0.5
10,7,17Ne,0,ECP,94.4,2.9,1.65E+4,3.54E-1,109.1,ms,0.5
10,7,17Ne,0,ECA,3.51,0.16,1.65E+4,3.54E-1,109.1,ms,0.5
10,8,18Ne,0,EC+B+,100,,5.31E+3,3.63E-1,1.66432,s,+0.00056-0.00055
10,5,15Ne,0,2P,100,,,,0.59,MeV,0.23
10,6,16Ne,0,2P,100,,2.39E+4,2.04E+1,80,keV,<
11,9,20Na,0,EC+B+,100,,6.85E+3,1.10,448,ms,2
11,9,20Na,0,ECA,19.9,0.2,6.85E+3,1.10,448,ms,2
11,8,19Na,0,P,100,,1.29E+4,1.05E+1,40,keV,<
11,7,18Na,0,P,100,,2.50E+4,9.38E+1,0.2,MeV,<=
11,6,17Na,0,P,100,,3.47E+4,5.96E+1,,,
11,21,32Na,0,B-,100,,1.86E+4,3.72E+1,13.2,ms,0.3
11,21,32Na,0,B-N,24,7,1.86E+4,3.72E+1,13.2,ms,0.3
11,21,32Na,0,B-2N,8.3,2.1,1.86E+4,3.72E+1,13.2,ms,0.3
11,20,31Na,0,B-,100,,1.22E+4,1.39E+1,17,ms,0.2
11,20,31Na,0,B-N,38.8,3.8,1.22E+4,1.39E+1,17,ms,0.2
11,20,31Na,0,B-2N,0.87,0.24,1.22E+4,1.39E+1,17,ms,0.2
11,23,34Na,0,B-,100,,3.16E+4,5.99E+2,5.5,ms,1.0
11,23,34Na,0,B-N,15,,3.16E+4,5.99E+2,5.5,ms,1.0
11,23,34Na,0,B-2N,50,,3.16E+4,5.99E+2,5.5,ms,1.0
11,22,33Na,0,B-,100,,2.37E+4,4.49E+2,8.2,ms,0.2
11,22,33Na,0,B-N,47,6,2.37E+4,4.49E+2,8.2,ms,0.2
11,22,33Na,0,B-2N,13,3,2.37E+4,4.49E+2,8.2,ms,0.2
11,24,35Na,0,B-,100,,3.78E+4,6.70E+2,2.4,ms,0.4
11,24,35Na,0,B-N,,,3.78E+4,6.70E+2,2.4,ms,0.4
11,24,35Na,0,B-2N,,,3.78E+4,6.70E+2,2.4,ms,0.4
11,26,37Na,0,B-,100,,5.31E+4,6.87E+2,,,
11,26,37Na,0,B-N,,,5.31E+4,6.87E+2,,,
11,26,37Na,0,B-2N,,,5.31E+4,6.87E+2,,,
11,10,21Na,0,EC+B+,100,,-2.18E+3,4.20E-2,22.4548,s,0.0053
11,11,22Na,0,EC+B+,100,,-5.18E+3,1.32E-1,2.6019,y,0.0005
11,14,25Na,0,B-,100,,-9.35E+3,1.20,58.9,s,0.6
11,13,24Na,0,B-,100,,-8.41E+3,1.70E-2,14.9578,h,0.0011
11,16,27Na,0,B-,100,,-5.51E+3,3.72,301,ms,5
11,16,27Na,0,B-N,0.13,0.03,-5.51E+3,3.72,301,ms,5
11,15,26Na,0,B-,100,,-6.86E+3,3.50,1.07128,s,0.00025
11,18,29Na,0,B-,100,,2.67E+3,7.33,43.2,ms,0.4
11,18,29Na,0,B-N,24.7,2.5,2.67E+3,7.33,43.2,ms,0.4
11,18,29Na,0,B-2N,,,2.67E+3,7.33,43.2,ms,0.4
11,17,28Na,0,B-,100,,-9.88E+2,1.02E+1,34.6,ms,1.0
11,17,28Na,0,B-N,0.58,0.12,-9.88E+2,1.02E+1,34.6,ms,1.0
11,19,30Na,0,B-,100,,8.47E+3,4.72,44.8,ms,1.2
11,19,30Na,0,B-N,30,4,8.47E+3,4.72,44.8,ms,1.2
11,19,30Na,0,B-2N,1.15,0.25,8.47E+3,4.72,44.8,ms,1.2
11,19,30Na,0,B-A,0.000055,0.000002,8.47E+3,4.72,44.8,ms,1.2
12,11,23Mg,0,EC+B+,100,,-5.47E+3,3.20E-2,11.3042,s,0.0035
12,10,22Mg,0,EC+B+,100,,-3.99E+2,1.59E-1,3.87445,s,0.00069
12,15,27Mg,0,B-,100,,-1.45E+4,4.70E-2,9.435,m,0.027
12,17,29Mg,0,B-,100,,-1.06E+4,3.45E-1,1.31,s,0.13
12,16,28Mg,0,B-,100,,-1.50E+4,2.61E-1,20.915,h,0.009
12,19,31Mg,0,B-,100,,-3.12E+3,3.07,270,ms,2
12,19,31Mg,0,B-N,6.2,1.9,-3.12E+3,3.07,270,ms,2
12,18,30Mg,0,B-,100,,-8.88E+3,1.29,314,ms,5
12,18,30Mg,0,B-N,0.06,,-8.88E+3,1.29,314,ms,5
12,20,32Mg,0,B-,100,,-8.28E+2,3.26,80.4,ms,0.4
12,20,32Mg,0,B-N,5.5,0.5,-8.28E+2,3.26,80.4,ms,0.4
12,22,34Mg,0,B-,100,,8.32E+3,6.89,44.9,ms,0.4
12,22,34Mg,0,B-N,21,7,8.32E+3,6.89,44.9,ms,0.4
12,22,34Mg,0,B-2N,,,8.32E+3,6.89,44.9,ms,0.4
12,21,33Mg,0,B-,100,,4.96E+3,2.66,90.2,ms,0.9
12,21,33Mg,0,B-N,14,2,4.96E+3,2.66,90.2,ms,0.9
12,21,33Mg,0,B-2N,,,4.96E+3,2.66,90.2,ms,0.9
12,24,36Mg,0,B-,100,,2.03E+4,6.90E+2,7.2,ms,1.2
12,24,36Mg,0,B-N,48,12,2.03E+4,6.90E+2,7.2,ms,1.2
12,24,36Mg,0,B-2N,,,2.03E+4,6.90E+2,7.2,ms,1.2
12,23,35Mg,0,B-,100,,1.56E+4,2.69E+2,11.3,ms,0.6
12,23,35Mg,0,B-N,52,46,1.56E+4,2.69E+2,11.3,ms,0.6
12,23,35Mg,0,B-2N,,,1.56E+4,2.69E+2,11.3,ms,0.6
12,26,38Mg,0,B-,100,,3.40E+4,5.03E+2,3.1,ms,0.5
12,26,38Mg,0,B-N,,,3.40E+4,5.03E+2,3.1,ms,0.5
12,26,38Mg,0,B-2N,,,3.40E+4,5.03E+2,3.1,ms,0.5
12,25,37Mg,0,B-,100,,2.82E+4,6.98E+2,6.4,ms,1.5
12,25,37Mg,0,B-N,,,2.82E+4,6.98E+2,6.4,ms,1.5
12,25,37Mg,0,B-2N,,,2.82E+4,6.98E+2,6.4,ms,1.5
12,28,40Mg,0,B-,100,,4.95E+4,5.00E+2,,,
12,28,40Mg,0,B-N,,,4.95E+4,5.00E+2,,,
12,28,40Mg,0,B-2N,,,4.95E+4,5.00E+2,,,
12,9,21Mg,0,EC+B+,100,,1.09E+4,7.55E-1,120,ms,0.8
12,9,21Mg,0,ECA,0.115,0.019,1.09E+4,7.55E-1,120,ms,0.8
12,9,21Mg,0,ECP,20.9,1.3,1.09E+4,7.55E-1,120,ms,0.8
12,8,20Mg,0,EC+B+,100,,1.74E+4,1.86,90.4,ms,0.8
12,8,20Mg,0,ECP,29.9,1.1,1.74E+4,1.86,90.4,ms,0.8
12,7,19Mg,0,2P,100,,3.18E+4,6.00E+1,3500,fs,2800
12,6,18Mg,0,2P,100,,,,115,keV,100
13,9,22Al,0,EC+B+,100,,1.82E+4,4.01E+2,88.6,ms,2.5
13,9,22Al,0,ECP,57.7,0.6,1.82E+4,4.01E+2,88.6,ms,2.5
13,9,22Al,0,EC2P,1.17,0.07,1.82E+4,4.01E+2,88.6,ms,2.5
13,9,22Al,0,ECA,0.079,0.041,1.82E+4,4.01E+2,88.6,ms,2.5
13,8,21Al,0,P,,,2.70E+4,6.00E+2,35,ns,<
13,22,35Al,0,B-,100,,-2.23E+2,7.35,38.4,ms,0.3
13,22,35Al,0,B-N,38,2,-2.23E+2,7.35,38.4,ms,0.3
13,22,35Al,0,B-2N,,,-2.23E+2,7.35,38.4,ms,0.3
13,23,36Al,0,B-,100,,5.95E+3,1.49E+2,90,ms,40
13,23,36Al,0,B-N,31,,5.95E+3,1.49E+2,90,ms,40
13,23,36Al,0,B-2N,,,5.95E+3,1.49E+2,90,ms,40
13,20,33Al,0,B-,100,,-8.49E+3,6.98,41.5,ms,0.1
13,20,33Al,0,B-N,8.5,0.7,-8.49E+3,6.98,41.5,ms,0.1
13,21,34Al,0,B-,100,,-2.99E+3,2.10,53.73,ms,0.13
13,21,34Al,0,B-N,25,3,-2.99E+3,2.10,53.73,ms,0.13
13,21,34Al,0,B-2N,,,-2.99E+3,2.10,53.73,ms,0.13
13,21,34Al,0.04647,B-,100,,-2.95e+03,2.10e+00,22.1,ms,0.2
13,21,34Al,0.04647,B-N,11,4,-2.95e+03,2.10e+00,22.1,ms,0.2
13,21,34Al,0.04647,B-2N,,,-2.95e+03,2.10e+00,22.1,ms,0.2
13,26,39Al,0,B-,100,,2.14E+4,3.00E+2,7.23,ms,0.3
13,26,39Al,0,B-N,97,,2.14E+4,3.00E+2,7.23,ms,0.3
13,26,39Al,0,B-2N,,,2.14E+4,3.00E+2,7.23,ms,0.3
13,27,40Al,0,B-,100,,2.88E+4,3.00E+2,5.7,ms,0.4
13,27,40Al,0,B-N,,,2.88E+4,3.00E+2,5.7,ms,0.4
13,27,40Al,0,B-2N,,,2.88E+4,3.00E+2,5.7,ms,0.4
13,24,37Al,0,B-,100,,9.80E+3,1.80E+2,11.4,ms,0.3
13,24,37Al,0,B-N,52,5,9.80E+3,1.80E+2,11.4,ms,0.3
13,24,37Al,0,B-2N,1,,9.80E+3,1.80E+2,11.4,ms,0.3
13,25,38Al,0,B-,100,,1.64E+4,1.50E+2,9,ms,0.7
13,25,38Al,0,B-N,84,19,1.64E+4,1.50E+2,9,ms,0.7
13,25,38Al,0,B-2N,,,1.64E+4,1.50E+2,9,ms,0.7
13,28,41Al,0,B-,100,,3.45E+4,4.00E+2,3.5,ms,0.9
13,28,41Al,0,B-N,,,3.45E+4,4.00E+2,3.5,ms,0.9
13,28,41Al,0,B-2N,,,3.45E+4,4.00E+2,3.5,ms,0.9
13,29,42Al,0,B-,100,,4.19E+4,5.00E+2,,,
13,29,42Al,0,B-N,,,4.19E+4,5.00E+2,,,
13,29,42Al,0,B-2N,,,4.19E+4,5.00E+2,,,
13,30,43Al,0,B-,100,,4.82E+4,6.00E+2,,,
13,30,43Al,0,B-N,,,4.82E+4,6.00E+2,,,
13,30,43Al,0,B-2N,,,4.82E+4,6.00E+2,,,
13,11,24Al,0,EC+B+,100,,-4.88E+1,2.28E-1,2.053,s,0.004
13,11,24Al,0,ECA,0.035,0.006,-4.88E+1,2.28E-1,2.053,s,0.004
13,11,24Al,0,ECP,0.0016,0.0003,-4.88E+1,2.28E-1,2.053,s,0.004
13,11,24Al,0.4258,EC+B+,29.4,2.3,3.77e+02,2.28e-01,130.7,ms,1.1
13,11,24Al,0.4258,IT,70.6,2.3,3.77e+02,2.28e-01,130.7,ms,1.1
13,11,24Al,0.4258,ECA,0.028,0.006,3.77e+02,2.28e-01,130.7,ms,1.1
13,12,25Al,0,EC+B+,100,,-8.91E+3,6.50E-2,7.1666,s,0.0025
13,10,23Al,0,EC+B+,100,,6.74E+3,3.45E-1,447,ms,36
13,10,23Al,0,ECP,1.04,0.03,6.74E+3,3.45E-1,447,ms,36
13,15,28Al,0,B-,100,,-1.68E+4,4.90E-2,2.2483,m,0.0009
13,16,29Al,0,B-,100,,-1.82E+4,3.45E-1,6.56,m,0.06
13,13,26Al,0,EC+B+,100,,-1.22E+4,6.60E-2,7.17e+05,y,1.71e+04
13,13,26Al,0.228305,EC+B+,100,,-1.20e+04,6.60e-02,6.34603,s,0.00054
13,19,32Al,0,B-,100,,-1.10E+4,7.17,31.7,ms,0.3
